Country Code,Min lng,Max lng,Min lat,Max lat,axis,value
SC,45.9832764,56.3928224,-10.4716073,-3.7091721,lng,1154.927872
SD,21.8146345,38.6937999,9.3472209,22.224918,lng,1831.83718
SE,10.5798,24.1773101,55.0059799,69.0599709,lat,1554.006001
SG,103.594,104.0945001,1.1496,1.4784001,lng,55.70015839
SH,-15.4248047,-5.0976561,-41.0371886,-7.1008926,lat,3752.471994
SI,13.3753355,16.6107038,45.4218356,46.876659,lng,249.504244
SJ,-10.5468752,34.8046879,70.4662074,80.9284257,lat,1156.849326
SK,16.8331821,22.5658602,47.731159,49.613805,lng,421.4469201
SL,-13.4032999,-10.2716829,6.8446,9.9999737,lat,348.9022915
SM,12.4034824,12.5167041,43.8936809,43.992075,lat,10.87982921
SN,-17.6879999,-11.3457683,12.2649001,16.6929572,lng,683.5369252
SO,40.994373,51.6138,-1.8673,12.3615,lat,1573.335331
SR,-58.0705059,-53.9429,1.837306,6.1295999,lat,474.6161057
SS,23.4408491,35.9489971,3.48898,12.236389,lng,1382.38937
ST,6.328125,7.6588439,-0.0988769,1.8961687,lat,220.6001722
SV,-90.1923,-87.6682,13.0473999,14.4505567,lng,272.8788417
SX,-63.1397999,-62.9784,17.9941,18.0641707,lng,17.08354637
SY,35.6287,42.376309,32.311136,37.318693,lng,616.7856395
SZ,30.79064,32.1349067,-27.317402,-25.71792,lat,176.8611227
TC,-72.5207,-71.0594999,21.1459922,22.0016285,lng,151.139714
TD,13.4699999,24.0000011,7.442975,23.449228,lat,1769.875419
TF,49.8519168,70.6558228,-50.0641918,-45.7567331,lng,1510.790275
TG,-0.1440418,1.8089071,6.0812,11.139617,lat,559.3294014
TH,97.343396,105.636812,5.613038,20.465143,lat,1642.256658
TJ,67.3420121,75.1539564,36.6719898,41.044367,lng,677.1514287
TK,-172.6625061,-171.0928346,-9.5059527,-8.4221116,lng,172.4879784
TL,124.0332,127.4249,-9.5303001,-8.0484,lng,373.0443702
TM,52.3169,66.7073531,35.12876,42.798844,lng,1245.477903
TN,7.522311,11.599217,30.2280339,37.5359,lat,808.0599861
TO,-175.9570313,-173.2543946,-21.8360059,-15.4060236,lat,710.9888628
TR,25.5377,44.8178449,35.808592,42.3666999,lng,1668.816085
TT,-61.9725001,-60.4508999,9.9930001,11.4004,lng,166.4439084
TV,175.5615234,179.9999999,-11.1891797,-5.4300853,lat,636.8061042
TW,116.6665,123.5021012,20.5170001,26.4545,lng,696.7751833
TZ,29.34,40.6398,-11.7612539,-0.9843968,lng,1250.130054
UA,22.137159,40.2204802,44.2924,52.3793713,lng,1337.047188
UG,29.573433,35.0330489,-1.4823178,4.218628,lat,630.3763809
UM,166.5989221,-159.9849071,-0.3824678,28.3977184,lng,3511.213195
US,-171.7911106,-66.96466,18.91619,71.35776358,lng,4200
UY,-58.4913609,-53.0779284,-35.1558001,-30.0852149,lat,560.6748879
UZ,55.9982179,73.148946,37.1722571,45.590075,lng,1432.622251
VA,12.4457286,12.4583938,41.9001896,41.9074431,lng,1.049349532
VC,-61.4822,-61.0846,12.5294999,13.4136657,lat,97.76574917
VE,-73.367039,-59.805666,0.6475291,12.6886,lng,1500.173885
VG,-64.8775,-64.2651999,18.2899998,18.7539999,lng,64.66879697
VI,-65.1101,-64.4391,17.5482999,18.4239,lat,96.81860546
VN,102.1439156,109.6765,8.1952001,23.3926504,lat,1680.442869
VU,166.0583495,170.5023193,-20.5350773,-12.8064449,lat,854.585799
WF,-178.2284546,-176.0971068,-14.4187203,-13.1303042,lng,229.916599
WS,-172.8108215,-171.3950515,-14.0833012,-13.4203449,lng,153.0810207
YE,41.7096,54.679,11.7975,18.9996331,lng,1390.889294
YT,44.9914169,45.3201485,-13.0358332,-12.5772665,lat,50.70555429
ZA,16.2816999,38.2216904,-47.1313489,-22.1254239,lat,2765.005151
ZM,21.999351,33.7090305,-18.0774179,-8.2032838,lng,1269.423624
ZW,25.237368,33.068236,-22.4219117,-15.6093188,lng,824.1625121
